date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:11	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jul%202018%2003:34:05%20GMT	http://gaan.com.bd/robots.txt		(from )
21:34:11	8413/8413	---M-Z	200	added ('OK')	text/html	etag:%22cd9bdd22d13d41:0%22	http://gaan.com.bd/	C:/My%20Web%20Sites/Gaan/gaan.com.bd/index.html	(from )
21:34:12	121261/121261	---M-Z	200	added ('OK')	text/css	etag:%22804cce5942d11:0%22	http://gaan.com.bd/css/bootstrap.css	C:/My%20Web%20Sites/Gaan/gaan.com.bd/css/bootstrap.css	(from http://gaan.com.bd/)
21:34:12	16297/16297	---M-Z	200	added ('OK')	text/css	etag:%22804cce5942d11:0%22	http://gaan.com.bd/css/style.css	C:/My%20Web%20Sites/Gaan/gaan.com.bd/css/style.css	(from http://gaan.com.bd/)
21:34:13	68760/68760	---M-Z	200	added ('OK')	text/css	etag:%22801f9d4942d11:0%22	http://gaan.com.bd/css/animate.css	C:/My%20Web%20Sites/Gaan/gaan.com.bd/css/animate.css	(from http://gaan.com.bd/)
21:34:13	4776/4776	---M-Z	200	added ('OK')	application/javascript	etag:%2280a3741c942d11:0%22	http://gaan.com.bd/js/wow.min.js	C:/My%20Web%20Sites/Gaan/gaan.com.bd/js/wow.min.js	(from http://gaan.com.bd/)
21:34:14	8413/8413	---M-Z	200	added ('OK')	text/html	etag:%22cd9bdd22d13d41:0%22	http://gaan.com.bd/index.html	C:/My%20Web%20Sites/Gaan/gaan.com.bd/index-2.html	(from http://gaan.com.bd/)
21:34:15	1268/1268	---M-Z	200	added ('OK')	application/javascript	etag:%228076431b942d11:0%22	http://gaan.com.bd/js/responsive-nav.js	C:/My%20Web%20Sites/Gaan/gaan.com.bd/js/responsive-nav.js	(from http://gaan.com.bd/)
21:34:15	3655/3655	---M--	200	added ('OK')	image/png	etag:%2280681c14942d11:0%22	http://gaan.com.bd/images/menu-icon.png	C:/My%20Web%20Sites/Gaan/gaan.com.bd/images/menu-icon.png	(from http://gaan.com.bd/)
21:34:16	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:%220e0aa1a942d11:0%22	http://gaan.com.bd/js/jquery-1.11.0.min.js	C:/My%20Web%20Sites/Gaan/gaan.com.bd/js/jquery-1.11.0.min.js	(from http://gaan.com.bd/)
21:34:16	1330/1330	---M-Z	200	added ('OK')	application/javascript	etag:%228076431b942d11:0%22	http://gaan.com.bd/js/move-top.js	C:/My%20Web%20Sites/Gaan/gaan.com.bd/js/move-top.js	(from http://gaan.com.bd/)
21:34:17	4758/4758	---M-Z	200	added ('OK')	application/javascript	etag:%228049121a942d11:0%22	http://gaan.com.bd/js/easing.js	C:/My%20Web%20Sites/Gaan/gaan.com.bd/js/easing.js	(from http://gaan.com.bd/)
